Company,Car model,Horsepower(hp),Acceleration 0 to 100 km/h (seconds),Average_energy_consumption_1 (kWh/100km),Average_energy_consumption_2_3 (L/100km),Energy_type,Score overall balanced,Score performance oriented,Score environment oriented,Score expenditure oriented
BMW,420i Steptronic,184,7.9,,7,gasoline,6.342176787,5.104134482,2.653490113,1.96091294
BMW,430d Mild Hybrid xDrive Steptronic,286,5.3,,6,gasoline,12.5110141,11.71419364,6.34476733,3.380739717
BMW,430i xDrive Steptronic,245,6.1,,7.5,gasoline,9.230729047,8.685192376,3.380217428,2.622844963
BMW,430i Mild Hybrid xDrive Steptronic,255,5.9,,7.8,gasoline,9.516735041,9.262900576,3.223407954,2.67152501
BMW,520d Mild Hybrid Steptronic,197,7.3,,5.4,gasoline,8.283428064,6.137531555,5.383763555,2.524717323
BMW,520i Mild Hybrid Steptronic,208,7.5,,6,gasoline,7.972483212,6.22530144,4.436753046,2.414743073
BMW,530e Plug-in Hybrid Steptronic,299,6.3,20.8,0.7,hybrid,28.23206207,13.29167822,58.16184792,6.738637598
BMW,530i Mild Hybrid Steptronic,255,6.2,,6.7,gasoline,9.94533942,9.000730032,4.457835694,2.818646794
BMW,540d Mild Hybrid xDrive Steptronic,303,5.2,,6.1,gasoline,13.01758857,12.5331381,6.402850364,3.471405091
BMW,540i Mild Hybrid xDrive Steptronic,375,4.7,,7.2,gasoline,14.59020228,16.2692159,5.606831872,3.697175746
BMW,550e Plug-in Hybrid xDrive Steptronic,489,4.3,22.4,0.9,hybrid,39.31436786,27.59793119,58.08474005,7.917839981
Xiao Peng,Xiaopeng P7+,313,5.9,12.2,,electricity,43.21029044,16.45034151,29.8097744,81.73155789
Xiao Peng,Xiaopeng M03,218,7.3,11.5,,electricity,33.6315478,9.873074509,27.05993337,77.04086702
Xiao Peng,Xiaopeng X9,320,7.7,16.3,,electricity,34.7636933,12.82768585,21.18391339,76.87842919
Xiao Peng,Xiaopeng G9,313,6.4,15.2,,electricity,38.50950111,14.9469621,23.74273944,78.96169454
Xiao Peng,Xiaopeng G6,296,6.6,13.2,,electricity,38.85950402,14.05963476,26.51742035,79.4563757
Xiao Peng,Xiaopeng P7,276,6.4,13.6,,electricity,37.74607922,13.53176171,25.51243583,78.82975304
